Evento actual,Entidad,T.sim,N,B,NQ,Entidad,Tiempo.llegada,Entidad,T.salida,Entidad,T,Nss,Tsi
Inicio,-,0,0,0,0,1,0,-,-,1,0,-,-
llegada,1,0,1,1,0,2,2.42,1,3.1,2,2.42,-,-
llegada,2,2.42,2,1,1,3,3.2,1,3.1,1,3.1,,
salida,1,3.1,1,1,0,3,3.2,2,6.50,3,3.20,1,3.10
llegada,3,3.2,2,1,1,4,6.02,2,6.50,4,6.02,,
llegada,4,6.02,3,1,2,5,14.99,2,6.50,2,6.50,,
salida,2,6.50,2,1,1,5,14.99,3,10.50,3,10.50,2,4.08
salida,3,10.50,1,1,0,5,14.99,4,15.38,5,14.99,3,7.30
llegada,5,14.99,2,1,1,6,23.96,4,15.38,4,15.38,,
salida,4,15.38,1,1,0,6,23.96,5,19.62,5,19.62,4,9.36
salida,5,19.62,0,0,0,6,23.96,-,-,6,23.96,5,4.63
llegada,6,23.96,1,1,0,7,30.63,6,27.76,6,27.76,,
salida,6,27.76,0,0,0,7,30.63,-,-,7,30.63,6,3.79
llegada,7,30.63,1,1,0,8,32.34,7,34.43,8,32.34,,
llegada,8,32.34,2,1,1,9,34.25,7,34.43,9,34.25,,
llegada,9,34.25,3,1,2,10,39.42,7,34.43,7,34.43,,
salida,7,34.43,2,1,1,10,39.42,8,38.44,8,38.44,7,3.80
salida,8,38.44,1,1,0,10,39.42,9,42.74,10,39.42,8,6.10
llegada,10,39.42,2,1,1,11,41.83,9,42.74,11,41.83,,
llegada,11,41.83,3,1,2,12,42.28,9,42.74,12,42.28,,
llegada,12,42.28,4,1,3,13,44.10,9,42.74,9,42.74,,
salida,9,42.74,3,1,2,13,44.10,10,47.73,13,44.10,9,8.49
llegada,13,44.10,4,1,3,14,44.35,10,47.73,14,44.35,,
llegada,14,44.35,5,1,4,15,57.64,10,47.73,10,47.73,,
salida,10,47.73,4,1,3,15,57.64,11,51.08,11,51.08,10,8.31
salida,11,51.08,3,1,2,15,57.64,12,54.94,12,54.94,11,9.25
salida,12,54.94,2,1,1,15,57.64,13,60.26,15,57.64,12,12.66
llegada,15,57.64,3,1,2,16,59.33,13,60.26,16,59.33,,
llegada,16,59.33,4,1,3,17,60.88,13,60.26,13,60.26,,
salida,13,60.26,3,1,2,,,,,,0,13,16.16
